FullTime,DateHour,hour,Code,Value,X,Y
2019-12-23T16:40:08.712444,,,c54,203,179,203
2019-12-23T16:40:08.731456,,,c53,182,182,202
2019-12-23T16:40:08.731456,,,c54,202,182,202
2019-12-23T16:40:08.751058,,,c53,185,185,200
2019-12-23T16:40:08.751058,,,c54,200,185,200
2019-12-23T16:40:08.770021,,,c53,187,187,199
2019-12-23T16:40:08.770021,,,c54,199,187,199
2019-12-23T16:40:08.788788,,,c53,190,190,198
2019-12-23T16:40:08.788788,,,c54,198,190,198
2019-12-23T16:40:08.808373,,,c53,193,193,196
2019-12-23T16:40:08.808373,,,c54,196,193,196
2019-12-23T16:40:08.827225,,,c53,196,196,195
2019-12-23T16:40:08.827225,,,c54,195,196,195
2019-12-23T16:40:08.846081,,,c53,199,199,193
2019-12-23T16:40:08.846081,,,c54,193,199,193
2019-12-23T16:40:08.865041,,,c53,201,201,192
2019-12-23T16:40:08.865041,,,c54,192,201,192
2019-12-23T16:40:08.884579,,,c53,204,204,190
2019-12-23T16:40:08.884579,,,c54,190,204,190
2019-12-23T16:40:08.903562,,,c53,206,206,188
2019-12-23T16:40:08.903562,,,c54,188,206,188
2019-12-23T16:40:08.922603,,,c53,209,209,187
2019-12-23T16:40:08.922603,,,c54,187,209,187
2019-12-23T16:40:08.941587,,,c53,211,211,185
2019-12-23T16:40:08.941587,,,c54,185,211,185
2019-12-23T16:40:08.960475,,,c53,213,213,184
2019-12-23T16:40:08.960475,,,c54,184,213,184
2019-12-23T16:40:08.979418,,,c53,216,216,182
2019-12-23T16:40:08.979418,,,c54,182,216,182
2019-12-23T16:40:08.998755,,,c53,218,218,180
2019-12-23T16:40:08.998755,,,c54,180,218,180
2019-12-23T16:40:09.017106,,,c53,220,220,179
2019-12-23T16:40:09.017106,,,c54,179,220,179
2019-12-23T16:40:09.036960,,,c53,222,222,177
2019-12-23T16:40:09.036960,,,c54,177,222,177
2019-12-23T16:40:09.055878,,,c53,224,224,175
2019-12-23T16:40:09.055878,,,c54,175,224,175
2019-12-23T16:40:09.075045,,,c53,226,226,173
2019-12-23T16:40:09.075045,,,c54,173,226,173
2019-12-23T16:40:09.094090,,,c53,228,228,170
2019-12-23T16:40:09.094090,,,c54,170,228,170
2019-12-23T16:40:09.112701,,,c53,229,229,168
2019-12-23T16:40:09.112701,,,c54,168,229,168
2019-12-23T16:40:09.131904,,,c53,231,231,165
2019-12-23T16:40:09.131904,,,c54,165,231,165
2019-12-23T16:40:09.151186,,,c53,233,233,163
2019-12-23T16:40:09.151186,,,c54,163,233,163
2019-12-23T16:40:09.169959,,,c53,234,234,160
2019-12-23T16:40:09.169959,,,c54,160,234,160
2019-12-23T16:40:09.189084,,,c53,236,236,156
2019-12-23T16:40:09.189084,,,c54,156,236,156
2019-12-23T16:40:09.207890,,,c53,238,238,153
2019-12-23T16:40:09.207890,,,c54,153,238,153
2019-12-23T16:40:09.227430,,,c53,239,239,150
2019-12-23T16:40:09.227430,,,c54,150,239,150
2019-12-23T16:40:09.246467,,,c53,240,240,146
2019-12-23T16:40:09.246467,,,c54,146,240,146
2019-12-23T16:40:09.265542,,,c53,242,242,143
2019-12-23T16:40:09.265542,,,c54,143,242,143
2019-12-23T16:40:09.284127,,,c53,244,244,141
2019-12-23T16:40:09.284127,,,c54,141,244,141
2019-12-23T16:40:09.303507,,,c53,245,245,138
2019-12-23T16:40:09.303507,,,c54,138,245,138
2019-12-23T16:40:09.322578,,,c53,246,246,136
2019-12-23T16:40:09.322578,,,c54,136,246,136
2019-12-23T16:40:09.341155,,,c53,247,247,133
2019-12-23T16:40:09.341155,,,c54,133,247,133
2019-12-23T16:40:09.360574,,,c53,248,248,131
2019-12-23T16:40:09.360574,,,c54,131,248,131
2019-12-23T16:40:09.379317,,,c53,249,249,129
2019-12-23T16:40:09.379317,,,c54,129,249,129
2019-12-23T16:40:09.398723,,,c53,250,250,126
2019-12-23T16:40:09.398723,,,c54,126,250,126
2019-12-23T16:40:09.417364,,,c54,123,250,123
2019-12-23T16:40:09.436927,,,c53,251,251,121
2019-12-23T16:40:09.436927,,,c54,121,251,121
2019-12-23T16:40:09.455944,,,c53,252,252,118
2019-12-23T16:40:09.455944,,,c54,118,252,118
2019-12-23T16:40:09.474985,,,c54,115,252,115
2019-12-23T16:40:09.494025,,,c54,112,252,112
2019-12-23T16:40:09.512244,,,c54,110,252,110
2019-12-23T16:40:09.531811,,,c53,253,253,107
2019-12-23T16:40:09.531811,,,c54,107,253,107
2019-12-23T16:40:09.550501,,,c54,104,253,104
2019-12-23T16:40:09.569428,,,c54,101,253,101
2019-12-23T16:40:09.588298,,,c54,98,253,98
2019-12-23T16:40:09.608229,,,c54,95,253,95
2019-12-23T16:40:09.627334,,,c54,92,253,92
2019-12-23T16:40:09.646402,,,c54,90,253,90
2019-12-23T16:40:09.665511,,,c53,252,252,87
2019-12-23T16:40:09.665511,,,c54,87,252,87
2019-12-23T16:40:09.684501,,,c53,251,251,85
2019-12-23T16:40:09.684501,,,c54,85,251,85
2019-12-23T16:40:09.703404,,,c53,250,250,82
2019-12-23T16:40:09.703404,,,c54,82,250,82
2019-12-23T16:40:09.722226,,,c53,249,249,78
2019-12-23T16:40:09.722226,,,c54,78,249,78
2019-12-23T16:40:09.741026,,,c53,247,247,76
2019-12-23T16:40:09.741026,,,c54,76,247,76
