Time,Code,Value
2020-04-28T03:58:53.725008,54,217
2020-04-28T03:58:53.742475,54,218
2020-04-28T03:58:53.788366,54,219
2020-04-28T03:58:53.861431,54,220
2020-04-28T03:58:53.952413,54,221
2020-04-28T03:58:53.978571,54,220
2020-04-28T03:58:53.988835,54,218
2020-04-28T03:58:54.052117,54,219
2020-04-28T03:58:54.069370,54,220
2020-04-28T03:58:54.152077,54,218
2020-04-28T03:58:54.160342,54,216
2020-04-28T03:58:54.169309,54,215
2020-04-28T03:58:54.188702,54,216
2020-04-28T03:58:54.205642,54,217
2020-04-28T03:58:54.232895,54,218
2020-04-28T03:58:54.242129,54,219
2020-04-28T03:58:54.460863,54,220
2020-04-28T03:58:54.469142,54,219
2020-04-28T03:58:54.506387,54,220
2020-04-28T03:58:54.523720,54,219
2020-04-28T03:58:54.532678,54,218
2020-04-28T03:58:54.542294,54,216
2020-04-28T03:58:54.550813,54,215
2020-04-28T03:58:54.560016,54,214
2020-04-28T03:58:54.568994,54,213
2020-04-28T03:58:54.606338,54,212
2020-04-28T03:58:54.632672,54,214
2020-04-28T03:58:54.642212,54,216
2020-04-28T03:58:54.650727,54,217
2020-04-28T03:58:54.668899,54,216
2020-04-28T03:58:54.724306,54,218
2020-04-28T03:58:54.824375,54,219
2020-04-28T03:58:55.015145,54,220
2020-04-28T03:58:55.023275,54,219
2020-04-28T03:58:55.032363,54,218
2020-04-28T03:58:55.041418,54,216
2020-04-28T03:58:55.050484,54,215
2020-04-28T03:58:55.059620,54,214
2020-04-28T03:58:55.077715,54,213
2020-04-28T03:58:55.132286,54,215
2020-04-28T03:58:55.142002,54,217
2020-04-28T03:58:55.150630,54,218
2020-04-28T03:58:55.159752,54,219
2020-04-28T03:58:55.178524,54,220
2020-04-28T03:58:55.214212,54,221
2020-04-28T03:58:55.269611,54,220
2020-04-28T03:58:55.277599,54,218
2020-04-28T03:58:55.378585,54,219
2020-04-28T03:58:55.451064,54,220
2020-04-28T03:58:55.505970,54,219
2020-04-28T03:58:55.923694,54,220
2020-04-28T03:58:56.014389,54,221
2020-04-28T03:58:56.031540,54,220
2020-04-28T03:58:56.040619,54,218
2020-04-28T03:58:56.049746,54,217
2020-04-28T03:58:56.076998,54,218
2020-04-28T03:58:56.086025,54,219
2020-04-28T03:58:56.113291,54,217
2020-04-28T03:58:56.177879,54,218
2020-04-28T03:58:56.204396,54,219
2020-04-28T03:58:56.314145,54,220
2020-04-28T03:58:56.368832,54,219
2020-04-28T03:58:56.423064,54,220
2020-04-28T03:58:56.440275,54,219
2020-04-28T03:58:56.449383,54,218
2020-04-28T03:58:56.750201,54,219
2020-04-28T03:58:57.104312,54,220
2020-04-28T03:58:57.139977,54,221
2020-04-28T03:58:57.204439,54,220
2020-04-28T03:58:57.258842,54,219
2020-04-28T03:58:57.368077,54,220
2020-04-28T03:58:57.440552,54,219
2020-04-28T03:58:57.712748,54,220
2020-04-28T03:58:57.785789,54,219
2020-04-28T03:58:58.239890,54,220
2020-04-28T03:58:58.494320,54,219
2020-04-28T03:58:58.666877,54,220
2020-04-28T03:58:58.748747,54,219
2020-04-28T03:58:58.830506,54,220
2020-04-28T03:58:59.166559,54,221
2020-04-28T03:58:59.366518,54,220
2020-04-28T03:58:59.411311,54,219
2020-04-28T03:58:59.419710,54,218
2020-04-28T03:58:59.556793,54,219
2020-04-28T03:58:59.574092,54,220
2020-04-28T03:58:59.583208,54,219
2020-04-28T03:58:59.647641,54,220
2020-04-28T03:58:59.674189,54,221
2020-04-28T03:58:59.701439,54,220
2020-04-28T03:58:59.766202,54,219
2020-04-28T03:58:59.892942,54,220
2020-04-28T03:58:59.901112,54,219
2020-04-28T03:58:59.910317,54,217
2020-04-28T03:58:59.919247,54,216
2020-04-28T03:58:59.928309,54,215
2020-04-28T03:58:59.938478,54,214
2020-04-28T03:58:59.964843,54,215
2020-04-28T03:58:59.974497,54,216
2020-04-28T03:58:59.983211,54,217
2020-04-28T03:59:00.047630,54,218
2020-04-28T03:59:00.064679,54,219
2020-04-28T03:59:00.283303,54,220
2020-04-28T03:59:00.329182,54,218
2020-04-28T03:59:00.337071,54,216
2020-04-28T03:59:00.346181,54,215
2020-04-28T03:59:00.365679,54,216
2020-04-28T03:59:00.400897,54,217
2020-04-28T03:59:00.510541,54,218
2020-04-28T03:59:00.518933,54,219
2020-04-28T03:59:00.536913,54,220
2020-04-28T03:59:00.601501,54,219
2020-04-28T03:59:00.928654,54,220
2020-04-28T03:59:01.028659,54,219
2020-04-28T03:59:01.128667,54,220
2020-04-28T03:59:01.191667,54,221
2020-04-28T03:59:01.237679,54,220
2020-04-28T03:59:01.273824,54,219
2020-04-28T03:59:01.737100,54,220
2020-04-28T03:59:02.000317,54,221
2020-04-28T03:59:02.146020,54,220
2020-04-28T03:59:02.181407,54,219
2020-04-28T03:59:02.527168,54,220
2020-04-28T03:59:02.581860,54,221
2020-04-28T03:59:02.654552,54,220
2020-04-28T03:59:02.691011,54,219
2020-04-28T03:59:02.909050,54,220
2020-04-28T03:59:03.017996,54,219
2020-04-28T03:59:03.063176,54,220
2020-04-28T03:59:03.126980,54,219
2020-04-28T03:59:03.281116,54,220
2020-04-28T03:59:03.307552,54,221
2020-04-28T03:59:03.390605,54,220
2020-04-28T03:59:03.480965,54,219
2020-04-28T03:59:03.599387,54,220
2020-04-28T03:59:03.680859,54,219
2020-04-28T03:59:03.753499,54,220
2020-04-28T03:59:03.817319,54,219
2020-04-28T03:59:04.244005,54,220
2020-04-28T03:59:04.351947,54,221
2020-04-28T03:59:04.415730,54,220
2020-04-28T03:59:04.489521,54,221
2020-04-28T03:59:04.543575,54,220
2020-04-28T03:59:04.661410,54,221
2020-04-28T03:59:05.170609,54,220
2020-04-28T03:59:05.205993,54,219
2020-04-28T03:59:05.579507,54,220
2020-04-28T03:59:05.779163,54,221
2020-04-28T03:59:05.824357,54,220
2020-04-28T03:59:05.897388,54,221
2020-04-28T03:59:05.969954,54,220
2020-04-28T03:59:06.078448,54,221
2020-04-28T03:59:06.288126,54,220
2020-04-28T03:59:06.323219,54,219
2020-04-28T03:59:06.487534,54,220
2020-04-28T03:59:06.551314,54,219
2020-04-28T03:59:06.614882,54,220
2020-04-28T03:59:06.641086,54,221
2020-04-28T03:59:06.696357,54,220
2020-04-28T03:59:06.732796,54,219
2020-04-28T03:59:06.850763,54,220
2020-04-28T03:59:06.877226,54,221
2020-04-28T03:59:06.959132,54,220
2020-04-28T03:59:06.996356,54,219
2020-04-28T03:59:07.041259,54,220
2020-04-28T03:59:07.067794,54,221
2020-04-28T03:59:07.159646,54,220
2020-04-28T03:59:07.196191,54,219
2020-04-28T03:59:07.222193,54,220
2020-04-28T03:59:07.314012,54,219
2020-04-28T03:59:07.340406,54,220
2020-04-28T03:59:07.441027,54,221
2020-04-28T03:59:07.586702,54,220
2020-04-28T03:59:07.668430,54,221
2020-04-28T03:59:07.759242,54,220
2020-04-28T03:59:07.795553,54,219
2020-04-28T03:59:07.886390,54,220
2020-04-28T03:59:07.912569,54,221
2020-04-28T03:59:07.977191,54,220
2020-04-28T03:59:08.040585,54,221
2020-04-28T03:59:08.158861,54,220
2020-04-28T03:59:08.194372,54,219
2020-04-28T03:59:08.358555,54,220
2020-04-28T03:59:08.458800,54,219
2020-04-28T03:59:08.503843,54,220
2020-04-28T03:59:08.530131,54,221
2020-04-28T03:59:08.557363,54,220
2020-04-28T03:59:08.649177,54,221
2020-04-28T03:59:09.103395,54,220
2020-04-28T03:59:09.248845,54,219
2020-04-28T03:59:09.357700,54,220
2020-04-28T03:59:09.384011,54,221
2020-04-28T03:59:10.456688,54,220
2020-04-28T03:59:10.683598,54,221
2020-04-28T03:59:10.829201,54,220
2020-04-28T03:59:10.864433,54,219
2020-04-28T03:59:11.092459,54,220
2020-04-28T03:59:11.127778,54,221
2020-04-28T03:59:11.229020,54,220
2020-04-28T03:59:11.292139,54,219
2020-04-28T03:59:11.346855,54,220
2020-04-28T03:59:11.455874,54,221
2020-04-28T03:59:11.664960,54,220
2020-04-28T03:59:11.700291,54,219
2020-04-28T03:59:11.727284,54,220
2020-04-28T03:59:11.819224,54,221
2020-04-28T03:59:11.891670,54,220
2020-04-28T03:59:11.946370,54,221
2020-04-28T03:59:12.064382,54,220
2020-04-28T03:59:12.099722,54,219
2020-04-28T03:59:12.145763,54,220
2020-04-28T03:59:12.172282,54,221
2020-04-28T03:59:12.245530,54,220
2020-04-28T03:59:12.600061,54,221
2020-04-28T03:59:12.654940,54,220
2020-04-28T03:59:12.708793,54,221
